method,n_examples,rmse,mae,spearman,available
neighbor_average,866,109973.16549666956,8142.885080882218,0.7954520297543949,True
zero_shot_llm,866,181956.42596419164,15854.111662147805,0.09002475994429851,True
few_shot_llm,862,182312.96526184253,15442.126365591646,0.48965495219210275,True
