lambda,avg_carbon_kg,AvgPCF@10,NDCG@10,Recall@10,MRR,n_users,pareto_optimal,carbon_reduction_pct,engagement_retention_pct
0.0,236.49373469816564,236.49373469816564,0.0034765186541494434,0.006902134082978747,0.002456318865294921,91421,False,0.0,100.0
0.025,231.05014623678366,231.05014623678366,0.0034758069765420865,0.006902134082978747,0.0024556373852487436,91421,False,2.3017897147802118,99.97952901513968
0.05,225.88534797436034,225.88534797436034,0.0034693618834663897,0.006891195677142014,0.002449864337723801,91421,False,4.485694615692321,99.79413973014321
0.075,220.85344811254527,220.85344811254527,0.003460111648392002,0.006869318865468547,0.002443496622897417,91421,False,6.613404200995811,99.5280621969953
0.1,215.68713057620252,215.68713057620252,0.0034521862915623805,0.006858380459631813,0.0024359742985660443,91421,False,8.79795151804692,99.30009400185381
0.15,205.25908413176404,205.25908413176404,0.003463906256823536,0.00688025727130528,0.002445267602890031,91421,False,13.2073902956736,99.63721186104226
0.2,195.6517093467693,195.6517093467693,0.003470157398190367,0.006891195677142014,0.0024499858755664314,91421,False,17.269812836066276,99.81702224000773
0.25,186.00804376790893,186.00804376790893,0.0034821933463708037,0.00691307248881548,0.0024587062157751605,91421,False,21.347580727536414,100.16322916071763
0.3,176.06016666708962,176.06016666708962,0.0034715004594066926,0.006891195677142014,0.002450432961201822,91421,False,25.553982691425936,99.85565460042157
0.4,155.57768080636836,155.57768080636836,0.0034640662729364374,0.006891195677142014,0.002440653505507314,91421,False,34.21488268814797,99.64181462975488
0.5,133.46313697538858,133.46313697538858,0.003476648701456728,0.006924010894652213,0.0024482626425834223,91421,False,43.56588890368444,100.00374073376908
0.6,108.79432449583796,108.79432449583796,0.003510765189281485,0.00701151814134608,0.0024685334184792736,91421,False,53.99695275873124,100.98508129939606
0.7,83.47592093955441,83.47592093955441,0.003483743492206284,0.00697870292383588,0.002443900302160439,91421,True,64.70269242181244,100.20781818754855
0.8,59.982845641832824,59.982845641832824,0.0034138432336050964,0.0067818116187746795,0.002409474708235387,91421,True,74.6366026489504,98.19717864969485
0.9,39.670252721508184,39.670252721508184,0.0033255165560929414,0.006617735531223679,0.0023463878866357515,91421,False,83.22566440411671,95.65651408554153
0.91,37.51322239387013,37.51322239387013,0.0033290574006252663,0.006639612342897146,0.0023455848687469433,91421,False,84.13775213041147,95.75836438132806
0.92,35.09097888016977,35.09097888016977,0.003294776560686984,0.006563043502040013,0.002322744435606907,91421,True,85.16198370965049,94.77229632449868
0.93,32.307879046882015,32.307879046882015,0.00328423272016502,0.006508351472856346,0.0023245718438835994,91421,False,86.33880128447537,94.46900899683314
0.94,29.15034490947376,29.15034490947376,0.0032491838397863387,0.006420844226162479,0.002304513759212351,91421,False,87.67394622666092,93.4608487116338
0.95,25.651387768783973,25.651387768783973,0.0032269711470004807,0.006409905820325745,0.0022783701011351116,91421,False,89.15345989967872,92.82191375987263
0.96,22.083808125441642,22.083808125441642,0.0032381249143756475,0.006519289878693079,0.0022625050720346115,91421,True,90.66199019875644,93.14274527222058
0.97,17.61673163855131,17.61673163855131,0.0031590510286023266,0.0063661521969788125,0.002205065419480051,91421,True,92.55086750562954,90.8682317821537
0.98,11.908590576300847,11.908590576300847,0.003020502869552401,0.006081753645223745,0.0021097797508578403,91421,True,94.96452174874753,86.88297604694976
0.99,6.036987545257655,6.036987545257655,0.0028641794143219857,0.005687971035101345,0.0020284492309519384,91421,True,97.4472949344884,82.38642444513874
1.0,0.13891469942354603,0.13891469942354603,0.001523315627980447,0.0036534275494689403,0.0008984771829194881,91421,True,99.94126072743498,43.81727180328155
