category,model,lambda,avg_carbon_kg,AvgPCF@10,NDCG@10,Recall@10,MRR,n_users,pareto_optimal,carbon_reduction_pct,engagement_retention_pct
electronics,BPR,0.95,21.046693214292176,21.046693214292176,0.006833288173943936,0.013206693803708728,0.004938970371806193,110550,True,90.55162013703175,88.36775685570974
electronics,BPR,0.96,18.082521480597023,18.082521480597023,0.006608534747454352,0.012645861601085481,0.004815636823099509,110550,True,91.88230996245318,85.46125626054223
electronics,BPR,0.97,14.363292717955671,14.363292717955671,0.006278170653907036,0.012075983717774762,0.004563197719914138,110550,True,93.55196351747578,81.18900355447836
electronics,BPR,0.98,9.465863929443689,9.465863929443689,0.005335697240315944,0.010637720488466756,0.003739807456225367,110550,True,95.75054013350567,69.00098230685117
electronics,BPR,0.99,5.163108665219356,5.163108665219356,0.004123634545998515,0.008331071913161466,0.002862652825339392,110550,True,97.68215313227218,53.326645334830786
electronics,BPR,1.0,0.11028507281772953,0.11028507281772953,0.0016529617339850295,0.0034283129805517867,0.001117152333570244,110550,True,99.95049030977991,21.376022331028928
electronics,NeuMF,0.0,58.121836197648115,58.121836197648115,0.06184285387551601,0.10618724559023067,0.04819032183957557,110550,False,0.0,100.0
electronics,NeuMF,0.025,57.42132074672093,57.42132074672093,0.06194597682137528,0.10629579375848032,0.04829372617432319,110550,False,1.205253475724724,100.1667499790143
electronics,NeuMF,0.05,56.73866809724106,56.73866809724106,0.062116212479532,0.10628674807779286,0.04851487511935273,110550,False,2.3797735771861666,100.44202132806846
electronics,NeuMF,0.075,56.15077802170966,56.15077802170966,0.06226675808272606,0.10625056535504297,0.04871828447947851,110550,False,3.3912524188597657,100.685453824727
electronics,NeuMF,0.1,55.57793251334238,55.57793251334238,0.06233723541072806,0.10626865671641791,0.04880338207950148,110550,False,4.376846725308156,100.79941578408913
electronics,NeuMF,0.15,54.67729230574401,54.67729230574401,0.06238554867464588,0.1062415196743555,0.04887505833028221,110550,True,5.9264195993234745,100.87753841409432
electronics,NeuMF,0.2,54.1088085694256,54.1088085694256,0.06222157425196113,0.1062415196743555,0.048649573201812006,110550,True,6.90450937333756,100.61239149345768
electronics,NeuMF,0.25,53.72501686748078,53.72501686748078,0.06068556896038179,0.10622342831298055,0.04656023274679991,110550,True,7.564832114414941,98.12866832202839
electronics,NeuMF,0.3,53.44577631705109,53.44577631705109,0.057460228642007394,0.10628674807779286,0.042139263997472955,110550,True,8.045272115450198,92.91328753629249
electronics,NeuMF,0.4,52.900832023066485,52.900832023066485,0.0564463075827787,0.10637720488466756,0.040681656651805904,110550,True,8.982861719693735,91.27377545738743
electronics,NeuMF,0.5,52.29287385165086,52.29287385165086,0.056198862221804494,0.10652193577566711,0.04032282670342372,110550,True,10.02886819710132,90.87365588743309
electronics,NeuMF,0.6,51.532271109000476,51.532271109000476,0.05528238275114589,0.10648575305291723,0.03927389028881566,110550,True,11.33750328575181,89.3917070231336
electronics,NeuMF,0.7,49.19066797829035,49.19066797829035,0.05278602633884042,0.10544549977385799,0.03667682869921676,110550,True,15.366287102469697,85.35509445455712
electronics,NeuMF,0.8,28.217584318860254,28.217584318860254,0.039404649373228795,0.08707372229760289,0.025269852038508758,110550,True,51.45097580382006,63.717385120270706
electronics,NeuMF,0.9,13.013902887924015,13.013902887924015,0.026818184344208035,0.05789235639981909,0.017915063929989303,110550,True,77.60927090522543,43.365049740735735
electronics,NeuMF,0.91,9.171324716508368,9.171324716508368,0.02295699631678239,0.045056535504296696,0.016477611940298505,110550,True,84.22051793869602,37.12150212697609
electronics,NeuMF,0.92,8.283243244323836,8.283243244323836,0.022332622865534283,0.043156942559927636,0.016208305514275663,110550,True,85.74848321006931,36.11188919335418
electronics,NeuMF,0.93,7.718351990592489,7.718351990592489,0.02193614905932038,0.042008141112618726,0.016024071561384995,110550,True,86.72039203244441,35.470790373736364
electronics,NeuMF,0.94,7.240937795658074,7.240937795658074,0.02154842908746191,0.041067390321121666,0.01578791468343707,110550,True,87.54179449693456,34.8438465191741
electronics,NeuMF,0.95,6.805463138037086,6.805463138037086,0.02113847012975156,0.04018091361374943,0.015501306598321522,110550,True,88.29103899110389,34.18094218662897
electronics,NeuMF,0.96,6.275363745906828,6.275363745906828,0.02040877356124156,0.03905020352781547,0.014853090248612635,110550,True,89.20308758903118,33.00102159308907
electronics,NeuMF,0.97,5.135118901040255,5.135118901040255,0.018139307622714762,0.03796472184531886,0.012136026218115771,110550,True,91.16490593384239,29.331291306878438
electronics,NeuMF,0.98,4.137671293622795,4.137671293622795,0.017137530729201475,0.03712347354138399,0.011104872463081419,110550,True,92.88103823913563,27.71141636460981
electronics,NeuMF,0.99,2.5531061448213466,2.5531061448213466,0.014240699056796665,0.031008593396653097,0.009212286331689317,110550,True,95.60732022274847,23.02723461867055
electronics,NeuMF,1.0,0.028239287833559477,0.028239287833559477,0.0052003603568683,0.010058796924468566,0.003713323713323713,110550,True,99.95141363439117,8.408991550319053
electronics,LightGCN,0.0,149.23106201212124,149.23106201212124,0.024838132306900934,0.04147444595205789,0.019661594624281194,110550,False,0.0,100.0
