category,model,lambda,NDCG@10,Recall@10,avg_carbon_kg,carbon_reduction_pct
electronics,BPR,0.7,0.007785470717195157,0.015160560832202623,59.73207425581183,73.1847981140957
electronics,LightGCN,0.6,0.024858809594852285,0.041601085481682495,57.33402473758481,61.58036807851178
electronics,NeuMF,0.5,0.056198862221804494,0.10652193577566711,52.29287385165086,10.02886819710132
home_and_kitchen,BPR,0.7,0.003483743492206284,0.00697870292383588,83.47592093955441,64.70269242181244
home_and_kitchen,LightGCN,0.6,0.006600088631485982,0.013071394974896358,107.15390663636367,52.345838426541654
home_and_kitchen,NeuMF,0.8,0.016429331630290422,0.03511228273591407,52.752990436890876,50.56584966997922
sports_and_outdoors,BPR,0.2,0.0036059297681713897,0.00653315616299671,206.6316887150405,30.49273442422394
sports_and_outdoors,LightGCN,0.25,0.010071245998414744,0.017985952923310556,192.90217144425463,37.76152687180694
sports_and_outdoors,NeuMF,0.25,0.01007081666442451,0.021228802834725388,165.9313603644647,10.91694568265804
